date,close,5. adjusted close,6. volume,7. dividend amount
2011-11-30,64.04,52.8737,38256600.0,0.0
2011-12-30,64.3,53.3898,44730500.0,0.361
2012-01-31,67.56,56.0966,39381500.0,0.0
2012-02-29,70.41,58.4631,54666300.0,0.0
2012-03-30,72.26,60.253,39714100.0,0.308
2012-04-30,71.8,59.8694,38133000.0,0.0
2012-05-31,67.33,56.1422,40132200.0,0.0
2012-06-29,69.7,58.4181,42379700.0,0.346
2012-07-31,70.31,58.9294,28766400.0,0.0
2012-08-31,72.21,60.5218,28654300.0,0.0
2012-09-28,73.65,62.0303,31581600.0,0.364
2012-10-31,72.32,60.9101,34593900.0,0.0
2012-11-30,72.88,61.3818,43130600.0,0.0
2012-12-31,73.28,62.1729,56318500.0,0.545
2013-01-31,77.25,65.5411,49813700.0,0.0
2013-02-28,78.24,66.3811,38816800.0,0.0
2013-03-28,80.96,69.0002,34736600.0,0.364
2013-04-30,82.26,70.1082,39212700.0,0.0
2013-05-31,84.27,71.8212,42203000.0,0.0
2013-06-28,82.67,70.7937,61826100.0,0.386
2013-07-31,87.42,74.8613,47132600.0,0.0
2013-08-30,84.77,72.592,45063300.0,0.0
2013-09-30,87.65,75.4226,43307200.0,0.429
2013-10-31,91.385,78.6366,67666200.0,0.0
2013-11-29,93.86,80.7663,43403300.0,0.0
2013-12-31,95.92,82.9712,68232900.0,0.494
2014-01-31,92.88,80.3416,84208200.0,0.0
2014-02-28,97.4,84.2514,56538100.0,0.0
2014-03-31,97.47,84.6793,57314600.0,0.423
2014-04-30,97.53,84.7314,60159200.0,0.0
2014-05-30,99.58,86.5124,31401800.0,0.0
2014-06-30,101.77,88.7826,36786300.0,0.42
2014-07-31,99.74,87.0117,34090000.0,0.0
2014-08-29,103.88,90.6234,46036300.0,0.0
2014-09-30,101.24,88.7202,42233492.0,0.465
2014-10-31,104.02,91.1564,82856894.0,0.0
2014-11-28,106.6,93.4173,39784717.0,0.0
2014-12-31,106.0,93.3796,82040982.0,0.561
2015-01-30,103.1,90.8249,74149685.0,0.0
2015-02-27,109.02,96.0401,53521339.0,0.0
2015-03-31,107.25,94.9302,58712141.0,0.508
2015-04-30,107.91,95.5144,56948364.0,0.0
2015-05-29,109.31,96.7536,43874455.0,0.0
